"name","isFork","commits","branches","defaultBranch","releases","contributors","license","watchers","stargazers","forks","size","createdAt","pushedAt","updatedAt","homepage","mainLanguage","totalIssues","openIssues","totalPullRequests","openPullRequests","lastCommit","lastCommitSHA","hasWiki","isArchived"
"raphw/byte-buddy",false,6658,4,"master",257,68,"Apache License 2.0",166,5297,666,1002191,"2013-11-25T07:38:03","2022-11-23T11:01:03","2022-12-06T05:28:37","https://bytebuddy.net","Java",1174,117,186,0,"2022-11-23T11:01:00","c912dcf40cd9c5df79f89c583ffca5fdfa73e9b3",true,false
"redisson/redisson",false,7553,3,"master",114,118,"Apache License 2.0",889,20166,4864,22395,"2014-01-11T02:06:25","2022-11-18T05:27:37","2022-11-20T11:12:10","https://redisson.pro","Java",4149,326,513,32,"2022-11-18T05:29:59","d0c0187dcad73a4df246a3339dfc6e26025d725c",true,false
"google/j2objc",false,5520,44,"master",39,88,"Apache License 2.0",300,5900,941,100805,"2014-01-30T08:19:56","2022-11-16T10:41:30","2022-11-20T12:28:08","http://j2objc.org","Java",1076,53,886,7,"2022-11-16T10:41:24","5cfcda1190bf533fddcd25cfcb226fccc5bf60eb",true,false
"google/guava",false,5909,22,"master",35,279,"Apache License 2.0",2430,46200,10264,398452,"2014-05-29T04:23:17","2022-11-16T06:50:34","2022-11-20T02:58:05","","Java",3405,655,1483,111,"2022-11-16T06:28:26","688b9c2cfae305f38c601efd4a7a9e9549db9b1f",true,false
"teamamaze/amazefilemanager",false,5936,68,"release/4.0",65,124,"GNU General Public License v3.0",162,4210,1341,57803,"2014-07-14T07:47:53","2022-11-30T02:14:15","2022-12-07T02:48:53","https://teamamaze.xyz","Java",2076,486,1526,16,"2022-11-23T08:25:17","293ff5f06441629bbaac1699b3cacb8cc9942de3",true,false
"classgraph/classgraph",false,5271,4,"latest",394,49,"MIT License",83,2342,257,27868,"2014-08-17T08:46:57","2022-11-28T02:00:44","2022-12-04T06:54:26","","Java",408,13,301,3,"2022-11-21T02:44:34","3e9078e3cfa338468cbce153120e63bcc27df147",true,false
"junit-team/junit5",false,7410,39,"main",58,183,"Other",275,5520,1250,629016,"2015-01-11T07:06:10","2022-12-04T04:24:35","2022-12-07T09:09:10","https://junit.org","Java",1992,129,1075,15,"2022-11-29T03:41:39","b3827e21d2b29517566980172fbc6b2c6d9ca6b4",true,false
"zaproxy/zaproxy",false,8829,1,"main",292,189,"Apache License 2.0",388,10187,1970,192627,"2015-06-03T04:55:01","2022-11-17T12:48:44","2022-11-20T04:21:12","https://www.zaproxy.org","Java",4524,704,3054,19,"2022-11-17T12:48:44","f9938888ec8ab76d3ccf1cd70aa9d87ec4eb7dab",true,false
"corretto/corretto-8",false,49760,48,"develop",38,129,"GNU General Public License v2.0",110,2025,212,211529,"2018-11-07T07:49:10","2022-11-19T08:03:03","2022-11-18T04:58:26","","Java",230,37,194,1,"2022-11-15T08:09:58","6fa5800a399133971b0b9622c86f4e73297193be",false,false
"oracle/visualvm",false,103877,53,"master",20,10,"Other",87,2356,270,564998,"2016-09-12T02:44:30","2022-11-16T08:47:36","2022-11-18T08:31:12","https://visualvm.github.io/","Java",448,82,17,8,"2022-11-15T03:13:47","f8f1e48f14dd6b5966bb7d1262c0cd4174957f6f",true,false
"jmonkeyengine/jmonkeyengine",false,7674,27,"master",48,135,"BSD 3-Clause New or Revised License",209,3207,1078,975424,"2014-03-20T10:29:28","2022-11-18T06:32:29","2022-11-19T11:54:03","http://jmonkeyengine.org","Java",837,173,1021,22,"2022-11-18T06:32:29","81c26e14142a7a8a404aa2c5f4b6b6749c6e8556",false,false
"baomidou/mybatis-plus",false,5203,10,"3.0",22,134,"Apache License 2.0",58,13799,3770,17336,"2016-08-18T10:06:53","2022-12-05T04:08:05","2022-12-07T11:29:42","https://baomidou.com","Java",4176,161,691,13,"2022-12-03T07:51:54","806a1d6bf782ee068b1a0113f0ec9f3a04afe744",true,false
"spotbugs/spotbugs",false,16896,52,"master",57,141,"GNU Lesser General Public License v2.1",82,2902,511,162643,"2016-11-04T10:18:08","2022-12-06T01:02:50","2022-12-05T11:16:11","https://spotbugs.github.io/","Java",994,466,1228,56,"2022-11-14T11:11:51","ae41f6093b37a10a3f5dfb9598866f1c0658d416",true,false
"flowable/flowable-engine",false,12980,48,"main",20,261,"Apache License 2.0",259,5919,2233,214877,"2016-10-13T07:21:43","2022-12-02T04:06:38","2022-12-07T03:37:33","https://www.flowable.org","Java",1118,274,2421,38,"2022-12-01T02:18:45","a76073d956ebb5e26c1a7e7713245d448d62de05",true,false
"fishercoder1534/leetcode",false,5219,1,"master",0,23,"Apache License 2.0",185,3463,1224,9131,"2016-07-31T05:28:15","2022-11-20T03:28:19","2022-12-07T03:29:06","https://youtube.com/FisherCoder","Java",17,0,157,17,"2022-11-20T03:28:13","2d95382a9d7f7a25dbd6aec54b33faca3ee0015a",true,false
"ant-media/ant-media-server",false,6280,29,"master",42,26,"Other",95,2951,496,955967,"2017-03-01T08:21:13","2022-11-16T07:31:01","2022-11-19T06:31:17","https://antmedia.io","Java",3746,829,834,15,"2022-11-14T10:27:56","f3ac258e728bf960496a844f67149475db96145d",true,false
"vaticle/typedb",false,6230,5,"development",91,42,"GNU Affero General Public License v3.0",116,3262,330,98042,"2016-07-11T11:59:57","2022-12-07T09:31:54","2022-12-06T05:28:05","https://vaticle.com","Java",2290,234,4286,3,"2022-12-02T02:54:55","ee3faa252c9f53aa8b72bcf60c373b1a4d2f291a",true,false
"alibaba/dragonwell8",false,90806,14,"master",20,79,"GNU General Public License v2.0",146,3759,460,1032633,"2019-03-07T02:57:45","2022-11-18T03:08:49","2022-11-19T01:49:01","http://dragonwell-jdk.io","Java",322,51,117,5,"2022-11-16T07:15:36","c720c95eda710b668357973fe5847eceb89a4688",true,false
