"name","isFork","commits","branches","defaultBranch","releases","contributors","license","watchers","stargazers","forks","size","createdAt","pushedAt","updatedAt","homepage","mainLanguage","totalIssues","openIssues","totalPullRequests","openPullRequests","lastCommit","lastCommitSHA","hasWiki","isArchived"
"antlr/antlr4",false,8934,2,"master",27,295,"BSD 3-Clause New or Revised License",372,13475,2898,68592,"2010-02-04T01:36:28","2022-12-04T03:02:19","2022-12-07T04:36:39","http://antlr.org","Java",2022,669,1853,94,"2022-12-02T06:13:07","76fa05c21b12b96a6c12a0a82e611ed9d87d5af4",false,false
"apache/jmeter",false,17775,5,"master",0,56,"Apache License 2.0",334,6626,1803,91315,"2010-05-26T11:38:07","2022-11-29T07:53:30","2022-12-07T10:26:13","https://jmeter.apache.org/","Java",5001,607,728,24,"2022-11-29T07:52:36","2da0eb558c53ad0e4369fe310e3b460ba11d502f",false,false
"spring-projects/spring-batch",false,6048,12,"main",30,148,"Apache License 2.0",243,2247,2094,102391,"2010-11-17T05:53:45","2022-12-05T09:38:59","2022-12-07T07:25:15","http://projects.spring.io/spring-batch/","Java",3258,308,996,47,"2022-11-24T03:30:11","656e3f88952ee2efe013f9861d55f4a6b0c8a12f",true,false
"movingblocks/terasology",false,11912,50,"develop",69,262,"Apache License 2.0",200,3435,1312,300133,"2011-03-04T03:49:19","2022-12-01T07:17:08","2022-12-06T05:32:35","http://terasology.org","Java",2024,480,3035,31,"2022-11-26T11:59:55","f95b815040c0e119b7f43c68bfad9466d2e006c4",true,false
"alibaba/druid",false,6722,16,"master",47,184,"Apache License 2.0",1748,26249,8274,80477,"2011-11-03T05:12:51","2022-11-17T07:43:33","2022-11-20T01:17:40","https://github.com/alibaba/druid/wiki","Java",3723,2347,1262,138,"2022-11-14T08:44:14","4ccecebe8da73df3ae22124fc5add3015fd1a8f1",true,false
"minecraftforge/minecraftforge",false,8364,28,"1.19.x",0,376,"Other",357,5858,2436,110135,"2012-01-30T01:35:01","2022-12-05T02:24:59","2022-12-06T07:58:36","","Java",4032,107,4919,59,"2022-11-30T10:50:30","dd8239c255b399720ce38e2b7d3195906521d873",true,false
"buchen/portfolio",false,5003,16,"master",165,141,"Eclipse Public License 1.0",69,2063,461,40339,"2012-03-24T09:43:08","2022-12-04T06:02:26","2022-12-07T05:52:00","http://www.portfolio-performance.info","Java",1624,698,1443,40,"2022-12-04T06:02:24","a6cb5b218664f5d80f165e9d4ed8ae5938f662cc",false,false
"traccar/traccar",false,7650,2,"master",40,134,"Apache License 2.0",305,3818,2172,20334,"2012-04-16T08:33:49","2022-11-16T02:54:35","2022-11-20T09:21:46","https://www.traccar.org","Java",4134,343,844,63,"2022-11-16T02:54:30","4c973263a82d7c3515a8054a24e3396dfcab0e93",false,false
"thymeleaf/thymeleaf",false,5348,11,"3.1-master",3,32,"Apache License 2.0",124,2422,436,45112,"2012-05-20T03:11:32","2022-11-16T11:52:17","2022-11-19T01:03:56","http://www.thymeleaf.org","Java",820,95,79,5,"2022-11-16T11:51:57","5fb2907bc619534fddaafd43c10473571252fb5b",false,false
"libgdx/libgdx",false,15162,3,"master",9,334,"Apache License 2.0",1199,20759,6368,1102047,"2012-08-10T07:34:38","2022-11-16T05:47:14","2022-11-19T09:18:20","http://www.libgdx.com/","Java",3549,189,3448,65,"2022-11-15T09:01:30","bc65f3f27629a72a96a3b279a9d14abef4a49c04",true,false
"mockito/mockito",false,5830,23,"main",193,251,"MIT License",425,13513,2338,48085,"2012-10-13T08:27:12","2022-12-04T11:07:40","2022-12-07T10:39:03","http://mockito.org","Java",1417,329,1398,17,"2022-12-04T11:07:40","e2e628918518b73de7381692f28556ac6caa4710",true,false
"oracle/opengrok",false,7129,4,"master",207,97,"Other",166,3759,691,328168,"2013-01-07T11:49:18","2022-12-01T09:26:02","2022-12-07T04:34:52","http://oracle.github.io/opengrok/","Java",2355,549,1696,12,"2022-12-01T09:21:57","92ce674097bf7032da3a2310ef5b322295a141a5",true,false
"reactivex/rxjava",false,6015,6,"3.x",229,282,"Apache License 2.0",2261,46696,7636,136114,"2013-01-08T08:11:48","2022-12-04T10:15:03","2022-12-07T09:50:06","","Java",3106,13,3733,2,"2022-12-04T09:55:28","5b3510bc925947230f6c1a7e66d30694e0f304b3",true,false
